聯合利劍
戰備警巡
海空聯合
實戰化演訓
演訓
封控
封鎖
圍台
巡航
常態化
聯合火力打擊
遠海聯訓
繞島
臨檢
聯合演練
聯合突擊
海峽雷霆
機艦編隊
對台方向
re:(海空|陸海空).*(聯合|演訓)
re:(戰備|警巡)
